id_metier,gabarit_id,lieu_id,code_sages,statut,remarques
MOB-000105,5,8,7549E24,en_maintenance,
MOB-000106,11,17,7544R01,au_rebut,
MOB-000107,6,3,7547P41600,dispo_reemploi,
MOB-000108,26,1,7564B10,en_service,
MOB-000109,13,13,754C240,en_maintenance,
MOB-000110,17,2,7570400,dispo_reemploi,
MOB-000111,24,2,7570E12100,en_service,
MOB-000112,1,15,754B244100,dispo_reemploi,
MOB-000113,26,13,754C246100,en_maintenance,
MOB-000114,4,12,7554B04,au_rebut,
MOB-000115,15,1,7567E40,en_maintenance,
MOB-000116,7,11,7540352,en_service,
MOB-000117,14,12,B216G60100,dispo_reemploi,
MOB-000118,20,6,7560135240,dispo_reemploi,
MOB-000119,10,2,7574R05,en_maintenance,
MOB-000120,2,13,754D147100,en_maintenance,
MOB-000121,5,7,7574B12101,en_maintenance,
MOB-000122,22,15,7574B05101,en_maintenance,
MOB-000123,16,12,754D143,dispo_reemploi,
MOB-000124,4,10,7584R01,en_maintenance,
MOB-000125,2,6,754B246100,en_service,
MOB-000126,20,11,7540102245,en_maintenance,
MOB-000127,10,11,7540E10,en_maintenance,
MOB-000128,4,15,7580200,en_service,
MOB-000129,16,9,7550251,au_rebut,
MOB-000130,26,13,754D142,dispo_reemploi,
MOB-000131,15,10,7580401,en_maintenance,
MOB-000132,6,2,7570450,en_service,
MOB-000133,18,1,7557P63600,au_rebut,
MOB-000134,3,5,7544B14,dispo_reemploi,
MOB-000135,23,17,7544P61,en_maintenance,
MOB-000136,21,15,7584R02,dispo_reemploi,
MOB-000137,13,10,7580401,au_rebut,
MOB-000138,9,13,754C144,en_maintenance,
MOB-000139,3,15,7570153,en_service,
MOB-000140,19,6,758B344100,au_rebut,
MOB-000141,5,1,7567E40,au_rebut,
MOB-000142,25,6,756B143,en_service,
MOB-000143,13,13,754D141100,dispo_reemploi,
MOB-000144,26,4,7560355021,en_service,
MOB-000145,5,7,7577P34600,au_rebut,
MOB-000146,17,17,7547P40600,dispo_reemploi,
MOB-000147,2,12,7557E40,en_maintenance,
MOB-000148,26,1,7564B01,au_rebut,
MOB-000149,27,15,7580200,en_service,
MOB-000150,13,8,7549E23001,au_rebut,
MOB-000151,27,9,7557P31600,au_rebut,
MOB-000152,26,16,7580235,en_maintenance,
MOB-000153,4,5,7544B09,dispo_reemploi,
MOB-000154,3,6,7560100,en_service,
MOB-000155,13,6,756B144100,dispo_reemploi,
MOB-000156,22,5,7544B09,en_service,
MOB-000157,13,10,7587P34600,en_service,
MOB-000158,20,14,7560E14100,en_service,
MOB-000159,13,1,7564B07,en_maintenance,
MOB-000160,21,12,7554B04,dispo_reemploi,
MOB-000161,21,9,7550251,en_service,
MOB-000162,25,15,7580200,dispo_reemploi,
MOB-000163,8,12,7554B04,dispo_reemploi,
MOB-000164,12,5,7570385,au_rebut,
MOB-000165,10,15,7577E40340,au_rebut,
MOB-000166,11,13,754C246100,en_maintenance,
MOB-000167,25,1,7564B10,en_maintenance,
MOB-000168,11,9,7550251,au_rebut,
MOB-000169,17,13,754C140,en_service,
MOB-000170,2,15,7570153,au_rebut,
MOB-000171,15,5,7544B09,en_maintenance,
MOB-000172,14,13,754C148,au_rebut,
MOB-000173,15,15,754B243,dispo_reemploi,
MOB-000174,8,1,754F113100,dispo_reemploi,
MOB-000175,14,2,7574R05,en_maintenance,
MOB-000176,26,10,7587P34600,en_service,
MOB-000177,26,15,7580200,au_rebut,
MOB-000178,13,12,7557E40,au_rebut,
MOB-000179,22,12,7550100,dispo_reemploi,
MOB-000180,8,14,7567P32600,en_service,
MOB-000181,12,14,7564R04,dispo_reemploi,
MOB-000182,8,12,7550E13,dispo_reemploi,
MOB-000183,9,5,7574B08,en_service,
MOB-000184,7,6,754B212,dispo_reemploi,
MOB-000185,11,1,7564B07,en_service,
MOB-000186,13,1,7564B01,en_service,
MOB-000187,12,14,7560E14100,dispo_reemploi,
MOB-000188,22,15,7577E40340,au_rebut,
MOB-000189,11,15,7570103251,dispo_reemploi,
MOB-000190,15,10,7580481,en_service,
MOB-000191,27,12,B214P01260,au_rebut,
MOB-000192,18,14,7564R02,en_service,
MOB-000193,10,11,7540E12,au_rebut,
MOB-000194,10,12,7550E13,dispo_reemploi,
MOB-000195,3,1,7560305,en_service,
MOB-000196,22,13,754C200101,en_maintenance,
MOB-000197,8,15,7584K01101,en_maintenance,
MOB-000198,4,12,7554B05101,en_maintenance,
MOB-000199,25,6,756B144100,en_service,
MOB-000200,14,5,7570355,en_maintenance,
MOB-000201,18,15,756B140,dispo_reemploi,
MOB-000202,19,17,7540500,en_maintenance,
MOB-000203,15,5,7544B06,en_maintenance,
MOB-000204,20,15,7584B02,en_maintenance,
MOB-000205,15,17,7540500,au_rebut,
MOB-000206,17,5,7574B08,dispo_reemploi,
MOB-000207,26,5,7544B01101,au_rebut,
MOB-000208,9,12,7550100,en_maintenance,
MOB-000209,5,13,754C240,dispo_reemploi,
MOB-000210,5,5,7584B06,au_rebut,
MOB-000211,22,1,7564B02,dispo_reemploi,
MOB-000212,4,14,7560E14100,en_maintenance,
MOB-000213,16,5,7544B01101,en_service,
MOB-000214,7,13,754C245,dispo_reemploi,
MOB-000215,26,2,7570400,dispo_reemploi,
MOB-000216,21,6,7560E11,en_service,
MOB-000217,16,12,7550E13,dispo_reemploi,
MOB-000218,2,1,7544B04,dispo_reemploi,
MOB-000219,20,5,7570355,en_service,
MOB-000220,25,12,7554R02,au_rebut,
MOB-000221,13,12,754D149,dispo_reemploi,
MOB-000222,7,11,7540E12,en_maintenance,
MOB-000223,15,10,7580401,au_rebut,
MOB-000224,17,5,7577P33600,dispo_reemploi,
MOB-000225,2,16,7584B07,dispo_reemploi,
MOB-000226,26,13,754C242101,en_service,
MOB-000227,23,15,7584P61,dispo_reemploi,
MOB-000228,4,9,7550201,en_service,
MOB-000229,13,15,754B245,en_service,
MOB-000230,15,17,7540500,au_rebut,
MOB-000231,26,3,7540601,dispo_reemploi,
MOB-000232,2,13,754C147100,dispo_reemploi,
MOB-000233,3,1,7564B02,en_service,
MOB-000234,24,11,7540302,en_maintenance,
MOB-000235,16,14,7560251,en_maintenance,
MOB-000236,16,2,7570450,en_service,
MOB-000237,10,15,754B243,en_maintenance,
MOB-000238,21,13,754C141,au_rebut,
MOB-000239,14,13,754F111100,en_maintenance,
MOB-000240,2,5,7570385,dispo_reemploi,
MOB-000241,12,16,7580381,dispo_reemploi,
MOB-000242,27,6,7560100,dispo_reemploi,
MOB-000243,13,15,7570103251,dispo_reemploi,
MOB-000244,22,13,754C141,au_rebut,
MOB-000245,17,12,7544121111,dispo_reemploi,
MOB-000246,7,10,7580481,en_service,
MOB-000247,5,16,7580301,au_rebut,
MOB-000248,24,12,7549E28,dispo_reemploi,
MOB-000249,6,15,7584P61,en_maintenance,
MOB-000250,15,5,7574B08,en_service,
MOB-000251,17,5,7544B15,en_service,
MOB-000252,3,6,756F110,au_rebut,
MOB-000253,8,15,7584R02,au_rebut,
MOB-000254,11,3,7547P41600,en_maintenance,
MOB-000255,13,7,7570E14100,au_rebut,
MOB-000256,15,15,7574B05101,en_maintenance,
MOB-000257,22,17,7540E13100,en_maintenance,
MOB-000258,8,17,7544R01,en_service,
MOB-000259,1,4,7560355021,dispo_reemploi,
MOB-000260,1,6,754B246100,au_rebut,
MOB-000261,3,2,7574R05,en_maintenance,
MOB-000262,15,1,7554B07,en_maintenance,
MOB-000263,14,6,754B212,en_service,
MOB-000264,12,13,754C100101,en_service,
MOB-000265,10,5,7544B14,en_service,
MOB-000266,6,6,7560135240,au_rebut,
MOB-000267,22,15,754B243,en_maintenance,
MOB-000268,4,7,7577P34600,dispo_reemploi,
MOB-000269,3,13,754C242101,au_rebut,
MOB-000270,26,2,7570251,en_service,
MOB-000271,26,15,7584K05101,en_maintenance,
MOB-000272,11,16,7580235,dispo_reemploi,
MOB-000273,27,14,7564R02,au_rebut,
MOB-000274,21,12,7550E13,en_maintenance,
MOB-000275,24,12,7550100,au_rebut,
MOB-000276,26,10,7580481,en_service,
MOB-000277,12,6,758B344100,en_maintenance,
MOB-000278,12,1,754F113100,en_service,
MOB-000279,25,13,754C245,en_maintenance,
MOB-000280,20,13,754C241,en_service,
MOB-000281,16,6,756B142,en_maintenance,
MOB-000282,21,15,754B244100,en_maintenance,
MOB-000283,13,11,754D144100,en_service,
MOB-000284,27,15,7584K04,dispo_reemploi,
MOB-000285,3,5,7574B08,en_maintenance,
MOB-000286,13,15,7570103251,en_maintenance,
MOB-000287,10,13,754D140,au_rebut,
MOB-000288,5,15,7584K04,au_rebut,
MOB-000289,23,12,7554R02,au_rebut,
MOB-000290,18,1,7564B07,dispo_reemploi,
MOB-000291,7,13,754C148,au_rebut,
MOB-000292,22,2,7570E12100,en_maintenance,
MOB-000293,27,14,7567P32600,en_maintenance,
MOB-000294,10,11,7540E10,en_service,
MOB-000295,25,15,7584P61,en_maintenance,
MOB-000296,22,17,7540500,dispo_reemploi,
MOB-000297,10,15,7584R05100,dispo_reemploi,
MOB-000298,7,10,7584R01,au_rebut,
MOB-000299,9,12,7550154,en_service,
MOB-000300,8,16,7580301,en_maintenance,
MOB-000301,4,2,7570251,en_service,
MOB-000302,15,6,756F110,dispo_reemploi,
MOB-000303,5,13,754D100101,dispo_reemploi,
MOB-000304,11,15,756B140,en_maintenance,
MOB-000305,4,14,7564R05,au_rebut,
MOB-000306,20,17,7540E13100,au_rebut,
MOB-000307,11,5,7574R02,dispo_reemploi,
MOB-000308,1,15,7574B01,en_maintenance,
MOB-000309,7,10,7580481,au_rebut,
MOB-000310,25,11,754D145100,en_maintenance,
MOB-000311,26,10,7584R01,dispo_reemploi,
MOB-000312,27,10,7587P34600,dispo_reemploi,
MOB-000313,12,1,7550351,dispo_reemploi,
MOB-000314,24,12,7550100,en_service,
MOB-000315,1,3,7540601,dispo_reemploi,
MOB-000316,21,13,754F111100,dispo_reemploi,
MOB-000317,19,11,7560150021,dispo_reemploi,
MOB-000318,1,7,7577P34600,en_service,
MOB-000319,11,7,7570E14100,dispo_reemploi,
MOB-000320,20,13,754C141,en_service,
MOB-000321,14,1,7550E12,en_maintenance,
MOB-000322,8,11,754D144100,en_service,
MOB-000323,12,5,7570355,dispo_reemploi,
MOB-000324,12,6,7560135240,dispo_reemploi,
MOB-000325,9,11,7540E10,au_rebut,
MOB-000326,22,13,7549E27001,en_maintenance,
MOB-000327,8,13,754C140,au_rebut,
MOB-000328,7,4,7567P34600,au_rebut,
MOB-000329,27,6,756B142,au_rebut,
MOB-000330,20,15,758B345100,en_service,
MOB-000331,7,6,7560E11,au_rebut,
MOB-000332,22,12,7550E13,dispo_reemploi,
MOB-000333,20,17,7540E13100,en_maintenance,
MOB-000334,24,6,7567P39600,en_maintenance,
MOB-000335,17,15,756B140,en_service,
MOB-000336,9,13,754D147100,au_rebut,
MOB-000337,25,17,7580234,dispo_reemploi,
MOB-000338,4,5,7574B08,en_maintenance,
MOB-000339,6,6,7564P61,en_maintenance,
MOB-000340,16,13,754D110100,au_rebut,
MOB-000341,16,6,7567P39600,en_service,
MOB-000342,17,5,7584B06,au_rebut,
MOB-000343,4,13,754C144,au_rebut,
MOB-000344,17,8,7549E23001,en_service,
MOB-000345,15,1,7564B06101,en_service,
MOB-000346,17,10,7587P34600,en_service,
MOB-000347,18,17,7540E13100,dispo_reemploi,
MOB-000348,2,13,754C242101,en_maintenance,
MOB-000349,16,5,7544B11,en_service,
MOB-000350,7,9,7550E11,en_service,
MOB-000351,15,1,7560305,au_rebut,
MOB-000352,26,9,7557P31600,dispo_reemploi,
MOB-000353,18,6,7560E11,au_rebut,
MOB-000354,16,11,7540102245,en_service,
MOB-000355,15,12,7554B05101,en_service,
MOB-000356,22,4,7560355021,en_maintenance,
MOB-000357,17,15,7584B02,dispo_reemploi,
MOB-000358,18,17,7544P61,en_maintenance,
MOB-000359,7,13,754C148,au_rebut,
MOB-000360,10,10,7580E12,en_maintenance,
MOB-000361,9,16,7584B07,en_service,
MOB-000362,27,10,7580481,au_rebut,
MOB-000363,14,5,7574B09,dispo_reemploi,
MOB-000364,6,12,7554R02,au_rebut,
MOB-000365,21,7,7577P34600,en_maintenance,
MOB-000366,8,11,754D144100,au_rebut,
MOB-000367,23,7,7577P34600,dispo_reemploi,
MOB-000368,6,12,7550100,en_maintenance,
MOB-000369,9,15,7584R04100,dispo_reemploi,
MOB-000370,18,13,754C242101,en_maintenance,
MOB-000371,21,15,7584B02,dispo_reemploi,
MOB-000372,4,13,754D147100,en_maintenance,
MOB-000373,23,1,7564B09,en_service,
MOB-000374,2,5,7554R01,au_rebut,
MOB-000375,24,7,7577P34600,en_service,
MOB-000376,9,12,B214P02,en_service,
MOB-000377,8,10,7584R01,en_service,
MOB-000378,13,9,7557P31600,en_maintenance,
MOB-000379,20,2,7570251,au_rebut,
MOB-000380,23,11,754D146,en_service,
MOB-000381,19,16,7580381,en_maintenance,
MOB-000382,10,6,756F110,en_maintenance,
MOB-000383,15,13,754C200101,dispo_reemploi,
MOB-000384,10,12,7554R02,en_maintenance,
MOB-000385,4,5,7574B09,en_service,
MOB-000386,9,5,7544B11,en_service,
MOB-000387,6,1,754F113100,au_rebut,
MOB-000388,15,5,7544B09,dispo_reemploi,
MOB-000389,5,16,7584B07,dispo_reemploi,
MOB-000390,10,15,7584K03,au_rebut,
MOB-000391,26,1,7567E40,au_rebut,
MOB-000392,16,13,754C147100,au_rebut,
MOB-000393,24,12,7550451,en_maintenance,
MOB-000394,13,15,7574B01,dispo_reemploi,
MOB-000395,27,13,754C144,au_rebut,
MOB-000396,26,13,754F115,dispo_reemploi,
MOB-000397,6,13,754C200101,en_service,
MOB-000398,25,11,7540E12,en_service,
MOB-000399,20,1,7554B07,en_maintenance,
MOB-000400,17,14,7560E14100,au_rebut,
MOB-000401,27,16,7580235,dispo_reemploi,
MOB-000402,17,5,7544B07101,au_rebut,
MOB-000403,1,1,7550301,en_service,
MOB-000404,1,6,756B144100,dispo_reemploi,
MOB-000405,16,14,7560E14100,en_maintenance,
MOB-000406,24,10,7580481,dispo_reemploi,
MOB-000407,26,13,754C141,au_rebut,
MOB-000408,3,16,7580381,au_rebut,
MOB-000409,14,13,754C100101,en_maintenance,
MOB-000410,18,15,7577E40340,en_maintenance,
MOB-000411,3,15,758B341,en_service,
MOB-000412,21,4,7567P34600,au_rebut,
MOB-000413,17,13,754F111100,dispo_reemploi,
MOB-000414,25,11,7560150021,en_maintenance,
MOB-000415,1,5,7584B06,en_maintenance,
MOB-000416,24,12,7550401,au_rebut,
MOB-000417,20,13,754D140,au_rebut,
MOB-000418,22,11,754D146,en_maintenance,
MOB-000419,9,6,758B344100,au_rebut,
MOB-000420,17,15,7584K03,au_rebut,
MOB-000421,7,17,7540E13100,en_maintenance,
MOB-000422,24,15,7570E10100,en_service,
MOB-000423,22,6,7560E12,en_service,
MOB-000424,10,2,7570450,dispo_reemploi,
MOB-000425,18,12,7554B05101,en_maintenance,
MOB-000426,13,5,7584B06,en_service,
MOB-000427,3,17,7544R01,en_maintenance,
MOB-000428,22,1,7564B08,en_service,
MOB-000429,26,15,7584K04,en_maintenance,
MOB-000430,2,12,7550451,en_maintenance,
MOB-000431,5,15,7570153,en_service,
MOB-000432,4,9,7557P31600,en_maintenance,
MOB-000433,26,1,7564B08,dispo_reemploi,
MOB-000434,24,13,754C143,dispo_reemploi,
MOB-000435,9,12,7557P64600,dispo_reemploi,
MOB-000436,2,2,7570251,dispo_reemploi,
MOB-000437,13,13,754C144,en_service,
MOB-000438,17,14,7564R05,en_service,
MOB-000439,3,5,7554R01,au_rebut,
MOB-000440,8,13,754C240,en_service,
MOB-000441,2,14,7564R02,en_maintenance,
MOB-000442,27,15,7584B02,dispo_reemploi,
MOB-000443,26,17,7544P61,dispo_reemploi,
MOB-000444,16,5,7577P33600,en_maintenance,
MOB-000445,14,4,7560355021,en_service,
MOB-000446,26,15,758B341,en_maintenance,
MOB-000447,25,15,7584B05101,dispo_reemploi,
MOB-000448,24,17,7540E13100,au_rebut,
MOB-000449,10,17,7540E13100,en_maintenance,
MOB-000450,4,12,7554B05101,en_service,
MOB-000451,21,1,7564B10,en_service,
MOB-000452,24,1,7554B07,en_service,
MOB-000453,2,12,7550E10,en_maintenance,
MOB-000454,19,5,7570355,en_service,
MOB-000455,22,12,7550E13,en_maintenance,
MOB-000456,3,15,7584K03,dispo_reemploi,
MOB-000457,23,12,754D143,au_rebut,
MOB-000458,11,12,7557P64600,en_maintenance,
MOB-000459,19,17,7540500,au_rebut,
MOB-000460,14,13,754F115,en_maintenance,
MOB-000461,27,12,7554B04,dispo_reemploi,
MOB-000462,24,8,7549E23001,dispo_reemploi,
MOB-000463,7,5,7544B11,en_maintenance,
MOB-000464,23,12,7554B05101,dispo_reemploi,
MOB-000465,8,10,7584R01,en_maintenance,
MOB-000466,16,11,7540E12,dispo_reemploi,
MOB-000467,25,2,7570400,en_maintenance,
MOB-000468,4,15,7570103251,en_maintenance,
MOB-000469,26,6,7560100,en_maintenance,
MOB-000470,7,2,7570251,dispo_reemploi,
MOB-000471,16,15,756B140,en_maintenance,
MOB-000472,23,15,7587P32600,au_rebut,
MOB-000473,13,13,754D147100,dispo_reemploi,
MOB-000474,1,10,7549E26,en_maintenance,
MOB-000475,19,1,7554B07,dispo_reemploi,
MOB-000476,12,6,754B212,dispo_reemploi,
MOB-000477,10,13,754D141100,dispo_reemploi,
MOB-000478,2,9,7550251,en_maintenance,
MOB-000479,20,12,7554B03,en_maintenance,
MOB-000480,5,13,754F114100,en_service,
MOB-000481,6,10,7584R01,en_service,
MOB-000482,26,15,7584B05101,dispo_reemploi,
MOB-000483,25,13,754C141,au_rebut,
MOB-000484,18,6,756F110,en_maintenance,
MOB-000485,21,2,7574R05,au_rebut,
MOB-000486,4,11,754D145100,en_service,
MOB-000487,3,13,754D142,en_service,
MOB-000488,21,13,754C145100,au_rebut,
MOB-000489,19,13,754D100101,dispo_reemploi,
MOB-000490,13,6,758B346100,au_rebut,
MOB-000491,5,17,7547E40,dispo_reemploi,
MOB-000492,19,2,7574R05,en_service,
MOB-000493,1,13,754D147100,dispo_reemploi,
MOB-000494,7,15,758B341,au_rebut,
MOB-000495,26,13,754C140,au_rebut,
MOB-000496,25,14,7560E14100,dispo_reemploi,
MOB-000497,8,9,7550201,en_service,
MOB-000498,15,12,B216G60100,au_rebut,
MOB-000499,27,6,7567P39600,dispo_reemploi,
MOB-000500,19,12,7557P64600,en_maintenance,
MOB-000501,6,12,7550E10,dispo_reemploi,
MOB-000502,25,14,7567P32600,dispo_reemploi,
MOB-000503,20,12,754D149,en_maintenance,
MOB-000504,20,13,754D141100,en_service,
MOB-000505,10,12,7554B02,en_service,
MOB-000506,4,1,7550351,au_rebut,
MOB-000507,16,11,7560150021,en_maintenance,
MOB-000508,4,12,7557E40,en_service,
MOB-000509,5,3,7540601,au_rebut,
MOB-000510,11,13,754D110100,en_service,
MOB-000511,5,6,756B144100,en_maintenance,
MOB-000512,20,12,7557E40,en_maintenance,
MOB-000513,22,11,7540102245,en_service,
MOB-000514,5,13,754D140,en_service,
MOB-000515,11,14,7567P32600,dispo_reemploi,
MOB-000516,5,12,7550401,en_service,
MOB-000517,14,7,7577P34600,au_rebut,
MOB-000518,13,12,7554B05101,en_maintenance,
MOB-000519,21,7,7570302,en_service,
MOB-000520,2,1,7550301,dispo_reemploi,
MOB-000521,21,12,7550451,en_service,
MOB-000522,12,12,7554B02,en_maintenance,
MOB-000523,19,6,754B246100,au_rebut,
MOB-000524,19,1,7564B10,dispo_reemploi,
MOB-000525,4,6,7560135240,dispo_reemploi,
MOB-000526,13,11,754D144100,en_maintenance,
MOB-000527,18,15,756B140,dispo_reemploi,
MOB-000528,19,13,754F111100,en_service,
MOB-000529,19,6,754B246100,en_maintenance,
MOB-000530,4,17,7547E40,en_service,
MOB-000531,22,12,7550154,en_maintenance,
MOB-000532,9,5,7570385,dispo_reemploi,
MOB-000533,22,15,7577E40340,en_service,
MOB-000534,25,1,7550301,en_maintenance,
MOB-000535,8,5,7544B01101,en_service,
MOB-000536,13,15,754B245,dispo_reemploi,
MOB-000537,14,1,7564B08,en_service,
MOB-000538,9,13,754F110,dispo_reemploi,
MOB-000539,15,15,7584K05101,en_service,
MOB-000540,2,3,7540651,en_service,
MOB-000541,22,1,7550301,en_service,
MOB-000542,20,1,7560305,en_maintenance,
MOB-000543,19,16,7580301,dispo_reemploi,
MOB-000544,17,14,7560203,au_rebut,
MOB-000545,5,12,7554R02,au_rebut,
MOB-000546,15,3,7540601,en_maintenance,
MOB-000547,14,8,7549E23001,en_service,
MOB-000548,27,12,7550401,dispo_reemploi,
MOB-000549,22,13,754C144,dispo_reemploi,
MOB-000550,21,12,B216G60100,en_maintenance,
MOB-000551,19,13,754C147100,au_rebut,
MOB-000552,23,13,754D147100,au_rebut,
MOB-000553,3,11,7560150021,au_rebut,
MOB-000554,6,6,754B246100,au_rebut,
MOB-000555,6,12,7554121,en_service,
MOB-000556,1,2,7570E12100,dispo_reemploi,
MOB-000557,22,1,7564B02,au_rebut,
MOB-000558,2,11,754D146,en_maintenance,
MOB-000559,17,12,7550451,dispo_reemploi,
MOB-000560,1,13,754D100101,en_service,
MOB-000561,12,15,7584R04100,au_rebut,
MOB-000562,10,15,7574B05101,en_service,
MOB-000563,23,12,7544121111,dispo_reemploi,
MOB-000564,27,12,7554B05101,au_rebut,
MOB-000565,4,6,7560102,au_rebut,
MOB-000566,2,14,7564R04,au_rebut,
MOB-000567,14,15,7584P61,en_maintenance,
MOB-000568,18,10,7580401,au_rebut,
MOB-000569,5,17,7580234,dispo_reemploi,
MOB-000570,17,6,756B143,dispo_reemploi,
MOB-000571,23,1,7564B05,au_rebut,
MOB-000572,13,6,756F110,en_maintenance,
MOB-000573,22,6,7560102,dispo_reemploi,
MOB-000574,19,13,754C241,au_rebut,
MOB-000575,2,6,756B144100,au_rebut,
MOB-000576,27,6,7564P61,au_rebut,
MOB-000577,14,15,7570153,en_service,
MOB-000578,10,17,7547E40,en_service,
MOB-000579,8,10,7584R01,dispo_reemploi,
MOB-000580,17,2,7574B06101,au_rebut,
MOB-000581,10,5,7544B11,au_rebut,
MOB-000582,22,10,7580401,en_maintenance,
MOB-000583,23,13,754C245,en_service,
MOB-000584,26,2,7570251,dispo_reemploi,
MOB-000585,11,12,754D149,en_service,
MOB-000586,2,6,7560102,en_service,
MOB-000587,21,1,7550351,dispo_reemploi,
MOB-000588,9,6,7567P39600,dispo_reemploi,
MOB-000589,20,10,7580E12,en_service,
MOB-000590,1,13,754C143,au_rebut,
MOB-000591,19,15,7584K01101,au_rebut,
MOB-000592,20,13,754F115,en_service,
MOB-000593,12,13,754C145100,dispo_reemploi,
MOB-000594,14,5,7544B07101,en_service,
MOB-000595,20,15,7574R04100,au_rebut,
